time_step,source_neuron_1,source_neuron_2,neuron_distance,uniq_s1,uniq_s2,redun_s1_s2,syn_s1_s2,overlapping
20,72,94,0.61950879,0.103563431,0.068529157,0.018831324,0.247503537,0
21,72,94,0.61950879,0.106912877,0.105860951,0.009724601,0.196650435,0
22,72,94,0.61950879,0.131493187,0.084385369,0.01592492,0.163047184,0
23,72,94,0.61950879,0.087267991,0.110604498,0.010504638,0.199653522,0
24,72,94,0.61950879,0.114244774,0.089033788,0.018695949,0.164344534,0
25,72,94,0.61950879,0.113903296,0.113793126,0.01518681,0.188780754,0
9,30,275,0.03118197,0.074417481,0.099202696,0.009326659,0.198711189,0.264042582
10,30,275,0.03118197,0.101287747,0.08272602,0.022847441,0.165961939,0.264042582
11,30,275,0.03118197,0.073711365,0.092547118,0.010312081,0.175742761,0.264042582
12,30,275,0.03118197,0.085633894,0.086477789,0.013526814,0.118520286,0.264042582
13,30,275,0.03118197,0.088795113,0.073333088,0.013963988,0.238690816,0.264042582
14,30,275,0.03118197,0.099696113,0.086753905,0.021794337,0.161755384,0.264042582
15,30,275,0.03118197,0.107139179,0.094797894,0.018658633,0.192393102,0.264042582
16,30,275,0.03118197,0.071982603,0.078150013,0.0101655,0.17587572,0.264042582
17,30,275,0.03118197,0.090511639,0.08680174,0.010295989,0.175417604,0.264042582
18,30,275,0.03118197,0.079095265,0.118194295,0.011977596,0.169099477,0.264042582
19,30,275,0.03118197,0.086686888,0.083990275,0.012392799,0.173156275,0.264042582
20,30,275,0.03118197,0.104213582,0.096495331,0.016097624,0.191039549,0.264042582
21,30,275,0.03118197,0.088289948,0.088292981,0.012271347,0.232168349,0.264042582
22,30,275,0.03118197,0.155870325,0.105119182,0.013715077,0.168310828,0.264042582
23,30,275,0.03118197,0.119915236,0.111187459,0.015030158,0.195684265,0.264042582
24,30,275,0.03118197,0.052965988,0.127279389,0.020268332,0.194456363,0.264042582
25,30,275,0.03118197,0.088256191,0.077167165,0.024130512,0.239182732,0.264042582
9,267,281,0.37945005,0.094203153,0.109878981,0.015515118,0.222949254,0.071323065
10,267,281,0.37945005,0.101981195,0.106803438,0.010561428,0.182603794,0.071323065
11,267,281,0.37945005,0.085764457,0.134498893,0.014825189,0.192795059,0.071323065
12,267,281,0.37945005,0.118800352,0.112041916,0.010090887,0.216802323,0.071323065
13,267,281,0.37945005,0.095356378,0.101989761,0.010198497,0.196143198,0.071323065
14,267,281,0.37945005,0.096951914,0.158411852,0.0145616,0.194159281,0.071323065
15,267,281,0.37945005,0.116528561,0.130943362,0.007307754,0.195059105,0.071323065
16,267,281,0.37945005,0.091602464,0.101847513,0.015848593,0.177976505,0.071323065
17,267,281,0.37945005,0.078603347,0.128605508,0.010971614,0.216479529,0.071323065
18,267,281,0.37945005,0.10711169,0.127109293,0.018982047,0.185753566,0.071323065
19,267,281,0.37945005,0.116654087,0.074552945,0.013844807,0.246229951,0.071323065
20,267,281,0.37945005,0.085515634,0.083669897,0.01403345,0.265554294,0.071323065
21,267,281,0.37945005,0.097018345,0.096160111,0.012204287,0.226407386,0.071323065
22,267,281,0.37945005,0.111895634,0.129323955,0.00924259,0.186469746,0.071323065
23,267,281,0.37945005,0.119982438,0.123461587,0.012387314,0.278873239,0.071323065
24,267,281,0.37945005,0.124916347,0.119836759,0.014065879,0.195595272,0.071323065
25,267,281,0.37945005,0.135369944,0.10340489,0.012880385,0.282338581,0.071323065
9,72,274,0.32153737,0.052660384,0.101031904,0.017656245,0.22240529,0.099500384
10,72,274,0.32153737,0.125417836,0.100301683,0.011024111,0.189304815,0.099500384
11,72,274,0.32153737,0.122631385,0.108951195,0.018880227,0.217902319,0.099500384
12,72,274,0.32153737,0.106864727,0.137949626,0.010995066,0.165036854,0.099500384
13,72,274,0.32153737,0.088165651,0.103036519,0.009670987,0.202243595,0.099500384
14,72,274,0.32153737,0.108290255,0.099644947,0.017787616,0.197339889,0.099500384
15,72,274,0.32153737,0.114079282,0.092585077,0.009923633,0.206373281,0.099500384
16,72,274,0.32153737,0.093776662,0.124823854,0.014314172,0.214943115,0.099500384
17,72,274,0.32153737,0.106265355,0.088202972,0.004051845,0.189343265,0.099500384
18,72,274,0.32153737,0.088915513,0.081622043,0.019129498,0.292110467,0.099500384
19,72,274,0.32153737,0.090640584,0.127420989,0.01115353,0.230112146,0.099500384
20,72,274,0.32153737,0.104809046,0.127727287,0.017585709,0.202731692,0.099500384
21,72,274,0.32153737,0.109841802,0.112271662,0.006795677,0.216268433,0.099500384
22,72,274,0.32153737,0.122888063,0.115814219,0.024530044,0.168280288,0.099500384
23,72,274,0.32153737,0.084280207,0.066109869,0.013492422,0.234593407,0.099500384
24,72,274,0.32153737,0.117630967,0.112756211,0.015309756,0.181725384,0.099500384
25,72,274,0.32153737,0.104981509,0.107732028,0.024108597,0.216255762,0.099500384
9,5,67,0.56801377,0.112827146,0.085862174,0.014956917,0.192493623,0.004144196
10,5,67,0.56801377,0.097364373,0.105104163,0.009234377,0.1838348,0.004144196
11,5,67,0.56801377,0.116949878,0.105674503,0.013540605,0.179209213,0.004144196
12,5,67,0.56801377,0.102847809,0.068766031,0.011345534,0.181515523,0.004144196
13,5,67,0.56801377,0.112273206,0.074066384,0.00846071,0.220934313,0.004144196
14,5,67,0.56801377,0.091951945,0.074781073,0.015450784,0.210427492,0.004144196
15,5,67,0.56801377,0.068820815,0.099492376,0.011125604,0.241208523,0.004144196
16,5,67,0.56801377,0.112877341,0.102754507,0.022077247,0.197330005,0.004144196
17,5,67,0.56801377,0.110124458,0.100151642,0.013343809,0.203665477,0.004144196
18,5,67,0.56801377,0.076524279,0.129090912,0.018438,0.202600213,0.004144196
19,5,67,0.56801377,0.110806995,0.081615432,0.008044433,0.207051473,0.004144196
20,5,67,0.56801377,0.104520989,0.106021282,0.008556522,0.164389796,0.004144196
21,5,67,0.56801377,0.08038254,0.090822584,0.010061017,0.179855211,0.004144196
22,5,67,0.56801377,0.144155772,0.081907985,0.00878446,0.16021833,0.004144196
23,5,67,0.56801377,0.073439389,0.087987555,0.018528398,0.267935333,0.004144196
24,5,67,0.56801377,0.109509292,0.10748053,0.025859246,0.204031995,0.004144196
25,5,67,0.56801377,0.103423073,0.10882615,0.013099706,0.220815252,0.004144196
9,22,234,0.32953809,0.067462044,0.141805483,0.017254215,0.208344983,0.095468006
10,22,234,0.32953809,0.084143136,0.152848007,0.011490633,0.188054909,0.095468006
11,22,234,0.32953809,0.131468268,0.098702476,0.008349639,0.148959858,0.095468006
12,22,234,0.32953809,0.111415304,0.10522435,0.017121368,0.182181116,0.095468006
13,22,234,0.32953809,0.092836328,0.080430588,0.014335717,0.174533273,0.095468006
14,22,234,0.32953809,0.091638849,0.079768989,0.019943522,0.150208855,0.095468006
15,22,234,0.32953809,0.111845002,0.142354345,0.019443317,0.234479467,0.095468006
16,22,234,0.32953809,0.083629823,0.140629796,0.014966965,0.187135538,0.095468006
17,22,234,0.32953809,0.116028251,0.098540096,0.018677449,0.198672487,0.095468006
18,22,234,0.32953809,0.112405425,0.10208947,0.008345992,0.184486061,0.095468006
19,22,234,0.32953809,0.088164132,0.116833885,0.01013794,0.19662171,0.095468006
20,22,234,0.32953809,0.087491073,0.099619466,0.015488233,0.178924238,0.095468006
21,22,234,0.32953809,0.083323264,0.096801634,0.017877657,0.243708738,0.095468006
22,22,234,0.32953809,0.069914643,0.098673042,0.038353175,0.260317142,0.095468006
23,22,234,0.32953809,0.093826347,0.109375622,0.016018535,0.2082118,0.095468006
24,22,234,0.32953809,0.117519865,0.10748879,0.017669588,0.175868438,0.095468006
25,22,234,0.32953809,0.092858703,0.113242043,0.012411721,0.154185376,0.095468006
